Unique ID,Location,Photo link,LINK,Part No,Description,STORE quantity,,
2026033,53,Picture,https://robocraze.com/products/active-buzzer-module?variant=40192615448729&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=20031834624&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=20040036619&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nmi5JNSe7Q6_-nxK7oAP0yXBGM7fyizZYLXkDzH6bb_ayP8bsW7PHBoCT-AQAvD_BwE,,Buzzer Module ,44,,
2026034,53,Picture,https://robu.in/product/pir-motion-sensor-detector-module-hc-sr501/?gad_source=1&gad_campaignid=20363337560&gclid=CjwKCAjwvsvTBhBaEiwAmf-3no1f-hC-1JMjhb0R7AxCGUhUHAPmaWt80U4dGyz88ftgc3Jd70DJSBoChMoQAvD_BwE,,PIR Module,80,,
2026035,52251,,,,Pushbutton,160,,
2026036,53,,,,MG90 servo motor small,1,,
2026037,53,Picture,https://www.amazon.in/Electronicspices-MG90S-Metal-Geared-Helicopter/dp/B08XZPMYCW,,MG90  servormotor medium,5,,
2026038,53,,,,MG90  servormotor big,1,,
2026039,54,Picture,https://netcareinstruments.com/products/netcare-pro-acoustic-stethoscope-rose-gold?variant=42120642592853&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=23133638855&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSnpaB6vvfGLTXBbYMeW-yQgI61js2J_dglTX5R1fb2MzTNLUDFZRhBoChnQQAvD_BwE,,stethoscope,5,,
2026040,54,Picture,https://robu.in/product/ds18b20-water-proof-temperature-probe-black-1m/,DS18B20,temp sensor water proof ,1,,
2026041,54,,,DS18B20-Transistor,Dallas Water proof transistor,1,,
2026042,54,,,,Water pressure(capacitive) sensor,3,,
2026043,54,Picture,https://amzn.in/d/08JiokAs,,inductive sensor,16,,
2026044,54,Picture,https://robocraze.com/products/w1209-digital-temperature-controller-thermostat-module?variant=40192846266521&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22124708836&gclid=EAIaIQobChMIn57t8M_PlgMVHB97Bx3BwRF7EAQYAiABEgLwe_D_BwE,,Digital Temp controller module,1,,
2026045,54,Picture,https://shop.waaree.com/waaree-50wp-12v-mono-perc-solar-module/?setCurrencyId=1&sku=WSM-50%2F12V,,Solar panel small,20,,
2026046,55,Picture,https://amzn.in/d/0acqp5ie,,PH sensor,5,,
2026047,55,,,,PH tester,1,,
2026048,55,Picture,https://www.desertcart.in/products/811438907-tds-meter-sensor-module-v1-0-with-probe-cable-water?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSiHpWLJc9NJj0AftUefthAX7OlCragSvrWKz9pGJibQ7amHXKsS-sBoCc_8QAvD_BwE,,TDS sensor,11,,
2026049,55,Picture,https://www.desertcart.in/products/42514363-seeed-studio-grove-gsr-sensor-module-3-3v-5v-open?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjw4dDTBhAqEiwAkHYmShCOtaaoOZxMaG2Jo8os1IS5EUJgxsatMTK_TH5lZHGrY07LYeYPOBoCLn8QAvD_BwE,,GSR Sensor Module,0,,
2026050,55,Picture,https://amzn.in/d/0fSH9dBv,,liquid level cap sensor,10,,
2026051,55,Picture,https://robu.in/product/12v-dc-peristaltic-dosing-pump-for-aquarium-lab-analytical-1mm-id-x-3mm-od-2-17-ml-min/?gad_source=1&gad_campaignid=17416544847&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSmF4YOWmMbZeF9EQ9S5aQCdwPvpOeo9e-RvOJFrBvLUwfRFvQhsfixoCvpYQAvD_BwE,,peristatic water pump,8,,
2026052,55,Picture,https://zbotic.in/product/submersible-mini-water-pump-3-6v-dc/?gad_source=1&gad_campaignid=20903026778&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSkz_ZRbcP7L1hCkNybI371aULAamNsdT32WCYrOeKQoBnH8PATjk8RoCIrQQAvD_BwE,,submersible water pump small,14,,
2026053,55,Picture,https://robocraze.com/products/water-flow-sensor?variant=40192779878553&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=BL+%7C+Pmax+%7C+Feed+Only+%7C+All+Products+%7C+Top+5+Cities+%7C22%2F06&utm_source=googleads&utm_medium=ppc&utm_campaign=21400046529&utm_content=_&utm_term=&campaignid=21400046529&adgroupid=&campaign=21400046529&gad_source=1&gad_campaignid=21406494659&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSmXRuOwOETnQigQNKosfg6IpPN0biGHMgh33Cz1dFNqgxjsDJszXEBoCk1MQAvD_BwE,,Water flow sensor,16,,
2026054,55,,,,water proof real time temp and humidity sensor,8,,
2026055,61,,,,Welco band,1,,
2026056,55,Picture,"https://www.flipkart.com/zofia-25000-mah-22-w-compact-pocket-size-power-bank/p/itmb376c48309018?pid=PWBGZF3K4T2QRSDR&lid=LSTPWBGZF3K4T2QRSDR4FLDAY&marketplace=FLIPKART&cmpid=content_power-bank_23776838770_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,806047554645,,,,c,,,,,,,&entryMethod=23776838770&&cmpid=content_23776838770_gmc_pla&gad_source=1&gad_campaignid=23776838770&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-qXG-mfP5vE7c9-qzLAJqTpyu00QAlbySiK6kghQVI_OONIVfRjhnhoCh5YQAvD_BwE",,power bank,1,,
2026057,55,Picture,https://jbridgeintegrations.com/product/12v-2-5a-adapter/?gclid=CjwKCAjwhNbTBhB4EiwAsFSg-o3gk4yVwH8vaFkzCvh2eDHrahtvj1P_Zpl5gN1A4voOZUbfyIKg9hoCUKYQAvD_BwE,,Power adapter,10,,
2026058,55,,,RF370,micro DC diaphragm pump/motor for air/water,2,,
2026059,61,Picture,https://amzn.in/d/05oFBTR7,,serial to USB converter,59,,
2026060,61,Picture,https://elecsynergy.in/products/ft232rl-usb-to-uart-ttl-module?variant=62887997014385&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=24041957407&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSv-25aXHK2IHhsDhyYzt7l4wXBq3tIAFuaZ7sisQ4Qz7_l2g8isQxRoCsggQAvD_BwE,FT232,FTDI USB to serial conv.,2,,
2026061,61,Picture,https://amzn.in/d/0hfMeQto,,4 flex sensor on gloves,1,,
2026062,61,,,,Copper Clad Laminate(unetched PCB),1,,
2026063,61,Picture,https://www.digikey.in/en/products/detail/vishay-semiconductor-opto-division/TSOP58338/4695684?msockid=2da3749866b160ea3428606d67d161a6,,tsop BOX,60,,
2026064,61,Picture,https://www.digikey.in/en/products/detail/sharp-socle-technology/GP2Y0A41SK0F/3884447?msockid=2da3749866b160ea3428606d67d161a6,,sharp sensor and other wires,20,,
2026065,61,,,,Telfon wire,2,,
2026066,61,,,,Power cords 16A ,7,,
2026067,32353,,,,14 pin IC base,40,,
2026068,23254,,,,22 pin IC base,1,,
2026069,32354,,,,8- PIN ic BASE,35,,
2026070,32354,,,,IC base 20pin,1,,
2026071,32354,,,,28 PIN IC Base,1,,
2026072,61,Picture,https://quartzcomponents.com/products/40-pin-ic-base?variant=31898131988615&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooKpTFBiwnb21yPJ986AITRdnc4ejpm9RrCXu4NxbY7IBODnsjRr3g,,40 pin IC BASEs,35,,
2026073,61,,,ATMEGA328 burner,Microcontroller Burner,1,,
2026074,7,,,,Keysight DSO,4,,
